Time (s),Altitude (m),Velocity (m/s),Velocity Magnitude (m/s),Accel <Z> (rad/s)
5.427500000000212488e+00,1.790381082203367441e+03,4.145382888382617921e+02,4.146185323545482220e+02,-3.699076866947463316e+01
5.430000000000212879e+00,1.791417375432406061e+03,4.144458190752885116e+02,4.145260528745201896e+02,-3.697814128914109943e+01
5.432500000000213269e+00,1.792453437504943849e+03,4.143533808788115493e+02,4.144336048710379146e+02,-3.696551392659202406e+01
5.435000000000213660e+00,1.793489268499896752e+03,4.142609742483993500e+02,4.143411883305299739e+02,-3.695288641058553480e+01
5.437500000000214051e+00,1.794524868496238923e+03,4.141685992180825338e+02,4.142488032472147097e+02,-3.694025882622891999e+01
5.440000000000214442e+00,1.795560237572922460e+03,4.140762557596913211e+02,4.141564496011992560e+02,-3.692763166100366590e+01
5.442500000000214833e+00,1.796595375808876497e+03,4.139839438721722900e+02,4.140641273787250611e+02,-3.691500488356359000e+01
5.445000000000215223e+00,1.797630283283027893e+03,4.138916635545980398e+02,4.139718365660434074e+02,-3.690237857221514162e+01
5.447500000000215614e+00,1.798664960074311693e+03,4.137994148169753998e+02,4.138795771518338711e+02,-3.688975348569478285e+01
5.450000000000216005e+00,1.799699406261666354e+03,4.137071976454438982e+02,4.137873491194013695e+02,-3.687712949705871779e+01
5.452500000000216396e+00,1.800733621924005092e+03,4.136150120367072418e+02,4.136951524544028871e+02,-3.686450701982990807e+01
5.455000000000216787e+00,1.801767607140232940e+03,4.135228579870486669e+02,4.136029871423796180e+02,-3.685188606107428910e+01
5.457500000000217177e+00,1.802801361989245606e+03,4.134307354927129268e+02,4.135108531688405833e+02,-3.683926657473269017e+01
5.460000000000217568e+00,1.803834886549928797e+03,4.133386445490885421e+02,4.134187505190810157e+02,-3.682664935865970790e+01
5.462500000000217959e+00,1.804868180901156393e+03,4.132465851504895795e+02,4.133266791781356915e+02,-3.681403445072277236e+01
5.465000000000218350e+00,1.805901245121787497e+03,4.131545572907811561e+02,4.132346391309178557e+02,-3.680142207993401371e+01
5.467500000000218741e+00,1.806934079290667796e+03,4.130625609334643400e+02,4.131426303325433196e+02,-3.678885310569908995e+01
5.470000000000219131e+00,1.807966683486460170e+03,4.129705959933154986e+02,4.130506526900062454e+02,-3.677629698854012474e+01
5.472500000000219522e+00,1.808999057787719039e+03,4.128786624512773642e+02,4.129587061768833109e+02,-3.676374452519045377e+01
5.475000000000219913e+00,1.810031202272934252e+03,4.127867602909439029e+02,4.128667907700417459e+02,-3.675119555736601029e+01
5.477500000000220304e+00,1.811063117020555410e+03,4.126948895028916127e+02,4.127749064537435970e+02,-3.673865054118464002e+01
5.480000000000220695e+00,1.812094802109007105e+03,4.126030500768499110e+02,4.126830532120529256e+02,-3.672610986493268115e+01
5.482500000000221085e+00,1.813126257616688235e+03,4.125112420020091690e+02,4.125912310289036213e+02,-3.671357355058380278e+01
5.485000000000221476e+00,1.814157483621971096e+03,4.124194652672006782e+02,4.124994398881395341e+02,-3.670104171940593574e+01
5.487500000000221867e+00,1.815188480203199106e+03,4.123277198607363516e+02,4.124076797734820161e+02,-3.668851485723018868e+01
5.490000000000222258e+00,1.816219247438685898e+03,4.122360057696959075e+02,4.123159506683846303e+02,-3.667599330204172503e+01
5.492500000000222649e+00,1.817249785406712590e+03,4.121443229802716814e+02,4.122242525561096613e+02,-3.666347756359442656e+01
5.495000000000223039e+00,1.818280094185525058e+03,4.120526714778854966e+02,4.121325854197560261e+02,-3.665096766608985490e+01
5.497500000000223430e+00,1.819310173853332572e+03,4.119610512475290989e+02,4.120409492423320899e+02,-3.663846386710636693e+01
5.500000000000223821e+00,1.820340024488306426e+03,4.118694622733648885e+02,4.119493440066771655e+02,-3.662596673743340858e+01
5.502500000000224212e+00,1.821369646168578129e+03,4.117779045384430106e+02,4.118577696954090470e+02,-3.661347645392705630e+01
5.505000000000224603e+00,1.822399038972235303e+03,4.116863780249883007e+02,4.117662262909867081e+02,-3.660099363129685202e+01
5.507500000000224993e+00,1.823428202977321462e+03,4.115948827146813755e+02,4.116747137757706128e+02,-3.658851787439911618e+01
5.510000000000225384e+00,1.824457138261834643e+03,4.115034185889904279e+02,4.115832321320913252e+02,-3.657604991604424072e+01
5.512500000000225775e+00,1.825485844903724683e+03,4.114119856281895409e+02,4.114917813420578909e+02,-3.656359006936249756e+01
5.515000000000226166e+00,1.826514322980892757e+03,4.113205838118163911e+02,4.114003613876536747e+02,-3.655113839154427069e+01
5.517500000000226557e+00,1.827542572571188202e+03,4.112292131190901614e+02,4.113089722508207728e+02,-3.653869514023856624e+01
5.520000000000226947e+00,1.828570593752408286e+03,4.111378735288915323e+02,4.112176139134576829e+02,-3.652626036800000975e+01
